gazetteer_title,stream_name,tributary_side,primary_county,origin,flow_description,destination_details,additional_data,canvas_fragment,image,current_alphabet_letter
Gazetteer of Surface Waters of Iowa,Ballard Creek,Left,Pottawattamie County,"sec. 19, T. 77 N., R. 38 W.",flows southwest 2 miles into Bedell Creek,Bedell Creek (tributary through East Nishnabotna River to Nishnabotna River and thus to the Missouri),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=371,2082,2228,52",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Ballard Creek,Right,Marion County,"sec. 7, T. 76 N., R. 20 W.",flows northeast 5 miles into Des Moines River,"Des Moines River (tributary to the Mississippi) in sec. 33, T. 77 N., R. 20 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=371,2294,2228,51",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Ballard Creek,Left,Story County,"T. 82 N., R. 24 W.",flows east 91 miles into Skunk River,"Skunk River (tributary to the Mississippi) in T. 82 N., R. 23 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=371,2504,2228,51",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Barber Creek,Left,Clinton County,"sec. 23, T. 81 N., R. 2 E.",flows southeast 8 miles into Wapsipinicon River,Wapsipinicon River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=371,2644,2228,51",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Baskins Run,Right,Bremer County,"sec. 30, T. 93 N., R. 13 W.",flows south 11 miles into Quarter Section Run,"Quarter Section Run (tributary through Cedar River to Iowa River and thus to the Mississippi) in sec. 34, T. 91 N., R. 13 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=373,2784,2226,51",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Bass Creek,Right,Webster County,"sec. 10, T. 90 N., R. 29 W.",flows southeast 3 miles into Des Moines River,"Des Moines River (tributary to the Mississippi) in Webster County, sec. 13, T. 90 N., R. 29 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=373,2994,2226,51",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Basswood Creek,Right,Dubuque County,"T. 90 N., R 2 E.",flows north 4 miles into Mississippi River,"Mississippi River in Dubuque County, T. 90 N., R. 2 E.",Total fall about 175 feet.,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=372,3200,2228,57",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Battle Creek,Right,Ida County,"sec. 33, T. 89 N., R. 41 W.",flows south 12 miles into Maple River,"Maple River (tributary through Little Sioux River to the Missouri) in Ida County, T. 87 N., R 41 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=372,3411,2227,57",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Beaman Creek,Left,Carroll County,"T. 85 N., R. 36 W.",flows northwest 8 miles into Boyer River,"Boyer River (tributary to the Missouri) in Sac County, T. 86 N., R. 37 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=373,3624,2225,51",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Right,Boone County,"T. 83 N., R. 27 W.",flows southeast 6 miles into Des Moines River,"Des Moines River (tributary to the Mississippi) in Boone County, T. 83 Ν., R. 26 W.",,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006#xywh=372,3826,2228,62",0006_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0006.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Left,Buchanan County,"T. 88 N., R. 9 W., at altitude 930 feet","flows southwest 17 miles into Cedar River (tributary through Iowa River to the Mississippi) in Benton County, T. 86 N., R. 10 W.",Cedar River (tributary through Iowa River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=525,210,1375,44",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Right,Cherokee County,"sec. 5, T. 92 N., R. 41 W.","flows northeast 5 miles into Mill Creek (tributary through Little Sioux River to the Missouri) in sec. 13, T. 93 N., R. 41 W.",Mill Creek (tributary through Little Sioux River to the Missouri),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=113,342,2201,58",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Right,Clayton County,"T. 91 N., R. 5 W., at altitude 1,160 feet","flows east and north 9 miles into Volga River (tributary through Turkey River to the Mississippi) in Clayton County, T. 92 N., R. 4 W., at altitude 650 feet.",Volga River (tributary through Turkey River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=111,757,2205,55",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Right,Dallas County,"sec. 29, T. 78 N., R. 29 W.","flows east and northeast 8 miles into Raccoon River (tributary through Des Moines River to the Mississippi) in Dallas County, sec. 17, T. 78 N., R. 28 W.",Raccoon River (tributary through Des Moines River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=111,967,2203,54",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Right,Delaware County,"T. 90 N., R. 3 W.","flows south into North Fork of Maquoketa River (tributary through Maquoketa River to the Mississippi) in Dubuque County, T. 89 N., R. 1 W.",North Fork of Maquoketa River (tributary through Maquoketa River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=111,1178,2203,51",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Right,Delaware County,"union of two small branches in T. 89 N., R. 3 W., at altitude 1,050 feet above sea level","flows generally southeast 10 miles into North Fork of Maquoketa River (tributary through Maquoketa River to the Mississippi) in Dubuque County, T. 89 N., R. 1 W., at altitude 920 feet above sea level.",North Fork of Maquoketa River (tributary through Maquoketa River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=219,1457,2095,50",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Right,Fayette County,"sec. 24, T. 92 N., R. 8 W.","flows northeast 7 miles into Volga River (tributary through Turkey River to the Mississippi) in Fayette County, sec. 26, T. 93 N., R. 7 W.",Volga River (tributary through Turkey River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=106,1735,2211,51",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Left,Grundy County,"sec. 20, T. 87 N., R. 18 W.","flows southwest 10 miles into Iowa River (tributary to the Mississippi) in Hardin County, T. 86 N., R. 19 W.",Iowa River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=109,1943,2207,55",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Right,Guthrie County,"T. 79 N., R. 33 W.","flows east 9 miles into Wichita Creek (tributary through Raccoon River to Des Moines River and thus to the Mississippi) in Guthrie County, sec. 7, T. 79 N., R. 31 W.",Wichita Creek (tributary through Raccoon River to Des Moines River and thus to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=109,2155,2207,50",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Left,Hamilton County,"T. 86 N., R. 23 W.","flows south 6 miles and southwest 8½ miles into Skunk River (tributary to the Mississippi) in Story County, T. 84 N., R. 23 W.",Skunk River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=109,2364,2208,50",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Right,Jones County,"T. 85 N., R. 3 W., at altitude 960 feet above sea level","flows southeast 9, east 13, and northeast 5 miles into Maquoketa River (tributary to the Mississippi) in Jackson County, T. 84 N., R. 1 E., at altitude 700 feet above sea level.",Maquoketa River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=106,2572,2208,50",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Right,Poweshiek County,"T. 81 N., R. 16 W.","flows southeast 42 miles into Iowa River (tributary to the Mississippi) 1 mile north of Marengo in Iowa County, T. 81 N., R. 11 W.",Iowa River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=109,2847,2211,51",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Right,Van Buren County,"sec. 12, T. 68 N., R. 10 W.","flows east 6 miles into Des Moines River (tributary to the Mississippi) in Van Buren County, sec. 1, T. 68 N., R. 9 W.",Des Moines River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=109,3056,2211,55",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Right,Wapello County,"sec. 7, T. 71 N., R. 15 W.","flows northeast 11 miles into Des Moines River (tributary to the Mississippi) in Wapello County, sec. 23, T. 72 N., R. 14 W.",Des Moines River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=111,3266,2206,52",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Left,Winnebago County,"sec. 17, T. 98 N., R. 23 W.","flows southeast 6 miles into Lime Creek (tributary to the Mississippi through Cedar and Iowa rivers) in Hancock County, T. 97 N., R. 24 W.",Lime Creek (tributary to the Mississippi through Cedar and Iowa rivers),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=111,3475,2203,48",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,Bear Creek,Left,Winneshiek County,"T. 100 N., R. 8 W.","flows southeast 8 miles and east 84 miles into Upper Iowa River (tributary to the Mississippi) in Allamakee County, T. 99 N., R. 6 W.",Upper Iowa River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=111,3683,2205,50",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,"Bear Creek, Little",Right,Benton County,"T. 83 N., R. 10 W.","flows northeast 11 miles into Opossum Creek (tributary through Cedar River to Iowa River and thus to the Mississippi) in Benton County, sec. 24, T. 84 N., R. 9 W.",Opossum Creek (tributary through Cedar River to Iowa River and thus to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007#xywh=111,3890,2203,49",0007_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0007.jpg,A
Gazetteer of Surface Waters of Iowa,"Bear Creek, Little",Right,Iowa County,"sec. 30, T. 80 N., R. 12 W.","flows northeast 12 miles into Bear Creek (tributary through Iowa River to the Mississippi) in Iowa County, sec. 4, T. 80 N., R. 11 W.",Bear Creek (tributary through Iowa River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0008#xywh=355,325,2215,58",0008_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0008.jpg,B
Gazetteer of Surface Waters of Iowa,"Bear Creek, Little",Right,Poweshiek County,"T. 80 N., R. 16 W.","flows east 17 miles into Bear Creek (tributary through Iowa River to the Mississippi) in Poweshiek County, T. 80 N., R. 13 W.",Bear Creek (tributary through Iowa River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0008#xywh=469,2153,2108,51",0008_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0008.jpg,B
Gazetteer of Surface Waters of Iowa,Beaver Creek,Right,Boone County,"T. 85 N., R. 28 W.","flows south 28 miles and southeast 28 miles into Des Moines River (tributary to the Mississippi) in Polk County, T. 79 N., R. 24 W.",Des Moines River (tributary to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0008#xywh=355,747,2218,54",0008_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0008.jpg,B
Gazetteer of Surface Waters of Iowa,Beaver Creek,Right,Cerro Gordo County,"sec. 21, T. 95 N., R. 19 W.","flows east 9 miles into Shellrock River (tributary through Cedar River to Iowa River and thus to the Mississippi) in Floyd County, T. 95 N., R. 18 W.",Shellrock River (tributary through Cedar River to Iowa River and thus to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0008#xywh=355,958,2221,55",0008_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0008.jpg,B
Gazetteer of Surface Waters of Iowa,Beaver Creek,Left,Crawford County,"T. 85 N., R. 39 W.","flows west 8 miles into Soldier River (tributary to Missouri River) in Crawford County, T. 85 N., R. 41 W.",Soldier River (tributary to Missouri River),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0008#xywh=355,1167,2221,58",0008_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0008.jpg,B
Gazetteer of Surface Waters of Iowa,Beaver Creek,Right,Franklin County,"T. 90 N., R. 20 W.","flows southeast 6 and east 35 miles into Cedar River (tributary through Iowa River to the Mississippi) in Blackhawk County, T. 90 N., R. 14 W.",Cedar River (tributary through Iowa River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0008#xywh=356,1380,2221,53",0008_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0008.jpg,B
Gazetteer of Surface Waters of Iowa,Beaver Creek,Right,Guthrie County,"T. 78 N., R. 32 W.","flows east 11 miles into South Raccoon River (tributary through Des Moines River to the Mississippi) in Guthrie County, sec. 5, T. 79 N., R. 30 W.",South Raccoon River (tributary through Des Moines River to the Mississippi),,"https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0008#xywh=358,1589,2222,53",0008_public:gdcmassbookdig:gazetteerofsurfa00hoyt:gazetteerofsurfa00hoyt_0008.jpg,B
