date,description,amount,transaction_type,record_type,section_title,year,canvas_fragment,image
"November 16, 1895",Check,50.00,withdrawal,Bank Ledger,CR,1895,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"December 9, 1895",Check,100.00,withdrawal,Bank Ledger,CR,1895,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"January 9, 1896",Check,5.00,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"January 14, 1896",Check,100.00,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"January 31, 1896",Check,50.00,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"February 8, 1896",Check,16.75,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"February 24, 1896",Check,50.25,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"March 10, 1896",Check,163.00,withdrawal,Bank Ledger,CR,1896,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002#xywh=1170,449,70,27",0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"March 13, 1896",Check,33.00,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"March 21, 1896",Check,45.00,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"April 3, 1896",Check,60.00,withdrawal,Bank Ledger,CR,1896,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002#xywh=1151,549,56,24",0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"November 2, 1896",Check,100.00,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"November 2, 1896",Check,5.00,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"November 2, 1896",Check,2.00,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
"November 2, 1896",Total Amount,3606.25,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0002,0002_service:mss:mss11879:mss11879-42:42001:0002.jpg
,Amt.,5726.25,deposit,Bank Ledger,DR,1896,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003#xywh=187,173,892,176",0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"July 19, 1897",Bal. V. R.,1322.65,deposit,Bank Ledger,DR,1897,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003#xywh=77,455,351,102",0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 17, 1897",C,70.00,deposit,Bank Ledger,DR,1897,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003#xywh=72,412,242,54",0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 25, 1897",C,355.00,deposit,Bank Ledger,DR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
,Total Amount,1747.65,deposit,Bank Ledger,DR,1897,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003#xywh=1120,961,203,50",0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 25, 1897",Bal. V. R.,950.15,deposit,Bank Ledger,DR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
,Amt.,3606.25,withdrawal,Bank Ledger,CR,1896,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003#xywh=452,479,220,60",0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"July 17, 1896",Ck.,300.04,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"July 17, 1896",Ck.,405.96,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"July 19, 1896",Ck.,91.35,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"July 19, 1896",Balance,1322.65,withdrawal,Bank Ledger,CR,1896,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003#xywh=754,848,290,55",0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
,Total Amount,5726.25,withdrawal,Bank Ledger,CR,1896,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 4, 1897",Ck.,83.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 10, 1897",Ck.,24.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 10, 1897",Ck.,15.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 10, 1897",Ck.,20.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 16, 1897",Ck.,200.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 17, 1897",Ck.,6.50,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 18, 1897",Ck.,325.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 20, 1897",Ck.,10.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 25, 1897",Ck.,50.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 25, 1897",Ck.,60.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 25, 1897",Balance,950.15,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
,Total Amount,1747.65,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0003,0003_service:mss:mss11879:mss11879-42:42001:0003.jpg
"August 25, 1897",Bal. V. B.,950.15,deposit,Bank Ledger,DR,1897,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004#xywh=508,337,194,63",0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"December 13, 1897",Brooks,25.00,deposit,Bank Ledger,DR,1897,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004#xywh=1238,387,58,37",0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"January 17, 1898",Brooks,24.15,deposit,Bank Ledger,DR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004#xywh=769,84,114,41",0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"January 17, 1898",Total Amount,999.30,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"August 26, 1897",Ck.,5.50,withdrawal,Bank Ledger,CR,1897,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004#xywh=784,278,85,38",0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"August 27, 1897",Ck.,5.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"September 17, 1897",Ck.,15.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"September 17, 1897",Ck.,375.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"September 18, 1897",Ck.,15.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"September 30, 1897",Ck.,5.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"October 4, 1897",Ck.,18.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"October 6, 1897",Ck.,12.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"October 7, 1897",Ck.,10.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"October 13, 1897",Ck.,3.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"October 15, 1897",Ck.,10.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"October 16, 1897",Ck.,43.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"October 16, 1897",Ck.,6.50,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"October 23, 1897",Ck.,7.50,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"October 27, 1897",Ck.,28.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"November 1, 1897",Ck.,10.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"November 2, 1897",Ck.,5.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"November 3, 1897",Ck.,40.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"November 4, 1897",Ck.,13.30,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"November 9, 1897",Ck.,2.50,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"November 9, 1897",Ck.,2.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"November 12, 1897",Ck.,5.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"November 12, 1897",Ck.,8.75,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"November 12, 1897",Ck.,12.12,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"November 16, 1897",Ck.,10.50,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"November 30, 1897",Ck.,50.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"November 30, 1897",Ck.,5.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004,0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"November 30, 1897",Total Amount,720.67,withdrawal,Bank Ledger,CR,1897,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0004#xywh=759,1100,107,27",0004_service:mss:mss11879:mss11879-42:42001:0004.jpg
"January 17, 1898",Bal. N.R.,200.15,deposit,Bank Ledger,DR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005#xywh=153,572,91,36",0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"February 24, 1898",C,94.75,deposit,Bank Ledger,DR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005#xywh=142,492,118,49",0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"February 3, 1898",Brooks,25.00,deposit,Bank Ledger,DR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005#xywh=158,676,306,78",0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"March 8, 1898",Brooks,25.00,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"April 8, 1898",Brooks,15.50,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"April 21, 1898",C,197.19,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"May 16, 1898",Brooks,25.00,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"June 8, 1898",Brooks,25.00,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"June 13, 1898",C,280.00,deposit,Bank Ledger,DR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
,Amt.,887.59,deposit,Bank Ledger,DR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005#xywh=525,566,192,52",0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
,Amt.,720.67,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"November 30, 1897",Ck.,7.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"December 1, 1897",Ck.,30.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"December 6, 1897",Ck.,8.48,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"December 28, 1897",Ck.,18.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"November 16, 1897",Ck.,15.00,withdrawal,Bank Ledger,CR,1897,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"January 17, 1898",Balance,200.15,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005#xywh=536,1067,179,38",0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
,Total,999.30,withdrawal,Bank Ledger,CR,1898,"https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005#xywh=534,1118,196,50",0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"January 26, 1898",Ck.,16.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"February 4, 1898",Ck.,99.75,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"February 11, 1898",Ck.,5.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"February 16, 1898",Ck.,5.76,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"February 18, 1898",Ck.,9.78,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"February 23, 1898",Ck.,3.50,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"March 1, 1898",Ck.,9.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"March 10, 1898",Ck.,54.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"March 7, 1898",Ck.,5.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"March 12, 1898",Ck.,5.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"March 16, 1898",Ck.,5.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"March 25, 1898",Ck.,6.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"April 7, 1898",Ck.,59.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"April 11, 1898",Ck.,50.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"April 18, 1898",Ck.,23.25,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"April 21, 1898",Ck.,4.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
"April 27, 1898",Ck.,50.00,withdrawal,Bank Ledger,CR,1898,https://tile.loc.gov/image-services/iiif/service:mss:mss11879:mss11879-42:42001:0005,0005_service:mss:mss11879:mss11879-42:42001:0005.jpg
