category,recipe_name,recipe_text,ingredients,steps,canvas_fragment,image
Desserts,CUSTARD CAKE,"Three eggs, One cup of sugar. One cup of flour. Bake in jelly-cake tins, two layers. CUSTARD FOR THE ABOVE. Half a pint of milk. Two table-spoons of sugar. Two table-spoons of flour. One egg. Boil the custard and flavor with vanilla.","['Three eggs', 'One cup of sugar', 'One cup of flour', 'Half a pint of milk', 'Two table-spoons of sugar', 'Two table-spoons of flour', 'One egg', 'Vanilla']","['Bake cake in jelly-cake tins, two layers.', 'Boil the custard ingredients and flavor with vanilla.']",https://www.loc.gov/item/unk81009721/canvas/18,0018_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0018.jpg
Desserts,"SPICE CAKE, No. 1","One lb. of flour. One lb. of sugar. Three quarter lb. of butter. One quarter less with cream. One cup of cream or milk. Four eggs separated. One tea-spoon of soda. One tea-spoon of cloves and cinnamon, citron, currants and raisins. One glass of wine and one nutmeg.","['One lb. of flour', 'One lb. of sugar', 'Three quarter lb. of butter', 'One cup of cream or milk', 'Four eggs separated', 'One tea-spoon of soda', 'One tea-spoon of cloves', 'One tea-spoon of cinnamon', 'Citron', 'Currants', 'Raisins', 'One glass of wine', 'One nutmeg']",[],https://www.loc.gov/item/unk81009721/canvas/18,0018_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0018.jpg
Desserts,"SPICE CAKE, No. 2","One cup of butter. Two cups of sugar. Three cups of flour. Four eggs. Half a cup of milk. One tea-spoon of soda. One cup of raisins. One cup of currants, citron, One tea-spoon of cloves, cinnamon and allspice.","['One cup of butter', 'Two cups of sugar', 'Three cups of flour', 'Four eggs', 'Half a cup of milk', 'One tea-spoon of soda', 'One cup of raisins', 'One cup of currants', 'Citron', 'One tea-spoon of cloves', 'One tea-spoon of cinnamon', 'One tea-spoon of allspice']",[],https://www.loc.gov/item/unk81009721/canvas/18,0018_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0018.jpg
Desserts,DELICATE CAKE,Whites of three eggs. One and a half cups of sugar. Half a cup of butter. Three cups of flour. One cup of milk. Half a tea-spoon of soda. One tea-spoon of cream tartar. One tea-spoon of extract of almond. Use the yolks in the same way.,"['Whites of three eggs', 'One and a half cups of sugar', 'Half a cup of butter', 'Three cups of flour', 'One cup of milk', 'Half a tea-spoon of soda', 'One tea-spoon of cream tartar', 'One tea-spoon of extract of almond', 'Yolks of three eggs']","['Mix ingredients together.', 'Use the yolks in the same way.']",https://www.loc.gov/item/unk81009721/canvas/19,0019_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0019.jpg
Desserts,SPONGE CAKE,One lb. of eggs. One lb. of sugar. Half a lb. of flour. Beat the eggs separately.,"['One lb. of eggs', 'One lb. of sugar', 'Half a lb. of flour']","['Beat the eggs separately.', 'Combine ingredients.']",https://www.loc.gov/item/unk81009721/canvas/19,0019_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0019.jpg
Desserts,NUT BISCUIT,"Take eight ounces of sweet almonds and four ounces of bitter ones; throw them into boiling water for five minutes; take out and skin them, pound them in a mortar; when fine enough, mix in four ounces of flour. The flour must be dry and well sifted. Then beat the yolks of two eggs; add to it eight ounces of fine white sugar, then add the whites of four eggs, beaten to a stiff froth. Add the","['Eight ounces of sweet almonds', 'Four ounces of bitter almonds', 'Four ounces of flour', 'Yolks of two eggs', 'Eight ounces of fine white sugar', 'Whites of four eggs']","['Throw almonds into boiling water for five minutes.', 'Take out and skin the almonds.', 'Pound almonds in a mortar.', 'Mix in four ounces of dry, well-sifted flour.', 'Beat the yolks of two eggs.', 'Add eight ounces of fine white sugar to the yolks.', 'Add the whites of four eggs, beaten to a stiff froth.']",https://www.loc.gov/item/unk81009721/canvas/19,0019_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0019.jpg
Desserts,LEMON BISCUIT,"One and a half lbs. of flour. One lb. of sugar. Twelve ounces of butter. Five eggs. Half a gill of milk. One table-spoon of lemon extract. Two tea-spoons of cream tartar. One tea-spoon of soda. One tea-spoon of almond extract can be used, if preferred.","['1 1/2 lbs. flour', '1 lb. sugar', '12 ounces butter', '5 eggs', '1/2 gill milk', '1 table-spoon lemon extract', '2 tea-spoons cream tartar', '1 tea-spoon soda', '1 tea-spoon almond extract (optional)']",['Combine ingredients and bake.'],https://www.loc.gov/item/unk81009721/canvas/20,0020_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0020.jpg
Desserts,GINGER SPONGE CAKE,One cup of molasses. One cup of butter. Two cups of sugar. Four eggs. Three cups of flour. One cup of milk. One tea-spoon of soda. One table-spoon of ginger.,"['1 cup molasses', '1 cup butter', '2 cups sugar', '4 eggs', '3 cups flour', '1 cup milk', '1 tea-spoon soda', '1 table-spoon ginger']",['Combine ingredients and bake.'],https://www.loc.gov/item/unk81009721/canvas/20,0020_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0020.jpg
Desserts,BREAKFAST CAKES,One quart flour. One pint milk. Two eggs. Butter the size of an egg. One tea-spoon of soda. Two tea-spoons of cream tartar. Bake in a quick oven and heated pans.,"['1 quart flour', '1 pint milk', '2 eggs', 'Butter the size of an egg', '1 tea-spoon soda', '2 tea-spoons cream tartar']","['Combine ingredients.', 'Bake in a quick oven and heated pans.']",https://www.loc.gov/item/unk81009721/canvas/20,0020_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0020.jpg
Desserts,GRAHAM MUFFINS.,"One pint of sour milk, A little salt. One table-spoon of sugar. One tea-spoon of soda or saleratus. Graham flour enough to make as stiff a batter as can well be stirred.","['One pint of sour milk', 'A little salt', 'One table-spoon of sugar', 'One tea-spoon of soda or saleratus', 'Graham flour']",['Mix ingredients to make as stiff a batter as can well be stirred.'],https://www.loc.gov/item/unk81009721/canvas/21,0021_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0021.jpg
Desserts,CORN MUFFINS.,One pint of corn meal. One pint of sour milk. Two eggs. A little salt. Two table-spoons of sugar. Three tea-spoons of melted butter. Two small teaspoons of soda or saleratus. A handful of bread crumbs dried. Bake in a quick oven.,"['One pint of corn meal', 'One pint of sour milk', 'Two eggs', 'A little salt', 'Two table-spoons of sugar', 'Three tea-spoons of melted butter', 'Two small teaspoons of soda or saleratus', 'A handful of bread crumbs dried']","['Combine ingredients.', 'Bake in a quick oven.']",https://www.loc.gov/item/unk81009721/canvas/21,0021_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0021.jpg
Pickles,PICKLED GRAPES,"Seven lbs. of fruit. Three and a half lbs. of sugar. One ounce of whole cinnamon. One ounce of whole cloves. Weigh the fruit and sugar. Push the pulp from the skins. Boil the pulp; when done, put it through a sieve. Put one quart of vinegar on the fire, with the sugar, and boil once. Then put the skins and pulp in with the spice and boil it a half hour or longer. Tie the spices in a piece of thin muslin.","['Seven lbs. of fruit', 'Three and a half lbs. of sugar', 'One ounce of whole cinnamon', 'One ounce of whole cloves', 'One quart of vinegar']","['Weigh the fruit and sugar.', 'Push the pulp from the skins.', 'Boil the pulp; when done, put it through a sieve.', 'Put one quart of vinegar on the fire, with the sugar, and boil once.', 'Put the skins and pulp in with the spice and boil it a half hour or longer.', 'Tie the spices in a piece of thin muslin.']",https://www.loc.gov/item/unk81009721/canvas/22,0022_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0022.jpg
Pickles,SWEET TOMATO PICKLES.,"Eight lbs. of tomatoes peeled. Four lbs. of sugar. Allspice, cloves and cinnamon (ground), half an ounce each. Boil one hour. When pretty cool, add one pint of vinegar.","['8 lbs. tomatoes, peeled', '4 lbs. sugar', '1/2 oz. allspice (ground)', '1/2 oz. cloves (ground)', '1/2 oz. cinnamon (ground)', '1 pint vinegar']","['Boil the tomatoes, sugar, and spices for one hour.', 'When the mixture is pretty cool, add the vinegar.']",https://www.loc.gov/item/unk81009721/canvas/23,0023_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0023.jpg
Pickles,SEED CUCUMBER PICKLES.,"Ten lbs. of cucumbers, pared and sliced, and with seeds taken out. Five lbs. of sugar. One ounce of cloves. One ounce of cinnamon. Half ounce of allspice. Three pints of vinegar. Put the cucumbers into clear water and boil until you can easily put a silver fork through it, and then drain it through a cullender. Put the spices in a bag. Boil the sugar, spices and vinegar, and pour over the cucumber. Let it stand three days. Then pour off and scald the syrup and pour back. Do this three times.","['10 lbs. cucumbers, pared, sliced, and seeded', '5 lbs. sugar', '1 oz. cloves', '1 oz. cinnamon', '1/2 oz. allspice', '3 pints vinegar']","['Put the cucumbers into clear water and boil until a silver fork can easily pass through them.', 'Drain the cucumbers through a cullender.', 'Put the spices in a bag.', 'Boil the sugar, spices, and vinegar together.', 'Pour the hot mixture over the cucumbers.', 'Let stand for three days.', 'Pour off the syrup, scald it, and pour it back over the cucumbers.', 'Repeat the scalding process three times.']",https://www.loc.gov/item/unk81009721/canvas/23,0023_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0023.jpg
Pickles,GREEN TOMATO PICKLES.,Slice a peck of green tomatoes; sprinkle salt on them and let them lie over night. Drain them and then boil twenty,"['1 peck green tomatoes', 'Salt']","['Slice the green tomatoes.', 'Sprinkle with salt and let lie overnight.', 'Drain the tomatoes.', 'Boil (text cut off).']",https://www.loc.gov/item/unk81009721/canvas/23,0023_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0023.jpg
Pickles,CHOW CHOW,"One peck of green tomatoes. Six peppers, taking out the seeds. Three onions. Chop together and cover them over night, adding two-thirds of a cup of salt. In the morning, draw off the liquor and just cover with vinegar. add one and a half cups of sugar. Less than a cup of made mustard. A table-spoon of cloves, allspice and cinnamon. Boil all about twenty minutes or more. Much improved by the addition of cauliflower and celery, with the other things.","['One peck of green tomatoes', 'Six peppers', 'Three onions', 'Two-thirds of a cup of salt', 'Vinegar', 'One and a half cups of sugar', 'Less than a cup of made mustard', 'A table-spoon of cloves', 'Allspice', 'Cinnamon', 'Cauliflower (optional)', 'Celery (optional)']","['Chop the tomatoes, peppers, and onions together.', 'Cover the mixture over night, adding two-thirds of a cup of salt.', 'In the morning, draw off the liquor.', 'Cover the mixture with vinegar.', 'Add sugar, made mustard, cloves, allspice, and cinnamon.', 'Boil all about twenty minutes or more.', 'Add cauliflower and celery if desired.']",https://www.loc.gov/item/unk81009721/canvas/24,0024_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0024.jpg
Miscellaneous,DRESSING FOR COLE SLAW.,"Rub together one cup of sugar and a piece of butter the size of a large egg. Add a well-beaten egg. Scald a pint of equal quantities of vinegar and water, and pour on these ingredients. When well mixed, pour it over the cabbage and stir it well. The cabbage should lie in cold water first, and then be finely chopped. Serve when cold.","['one cup of sugar', 'piece of butter the size of a large egg', 'one well-beaten egg', 'a pint of equal quantities of vinegar and water', 'cabbage']","['Rub together one cup of sugar and a piece of butter the size of a large egg.', 'Add a well-beaten egg.', 'Scald a pint of equal quantities of vinegar and water, and pour on these ingredients.', 'When well mixed, pour it over the cabbage and stir it well.', 'The cabbage should lie in cold water first, and then be finely chopped.', 'Serve when cold.']",https://www.loc.gov/item/unk81009721/canvas/25,0025_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0025.jpg
Miscellaneous,STEWED LOBSTER.,"To one lobster, boiled and cut in small pieces, add a pint of milk or water. A small piece of butter the size of half an egg, a little pepper and a little salt. Stew this together about ten minutes. Serve hot.","['one lobster, boiled and cut in small pieces', 'a pint of milk or water', 'a small piece of butter the size of half an egg', 'a little pepper', 'a little salt']","['To one lobster, boiled and cut in small pieces, add a pint of milk or water.', 'Add a small piece of butter the size of half an egg, a little pepper and a little salt.', 'Stew this together about ten minutes.', 'Serve hot.']",https://www.loc.gov/item/unk81009721/canvas/25,0025_public:gdcmassbookdig:bavarchikhanafor00unse:bavarchikhanafor00unse_0025.jpg
